TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
16790693759226356168204458915761118555996220068185181942433272507187729677830,1778669897359,1778669906313,1778669909920,1778669906346,1778669909920,,,12561
12171155231285391675025178116433424403548740354609214581816983664458978368648,1778669903047,1778669909870,1778669909920,,,,,6873
105622501788171903960674098089242740190528546385139078323892943718633386150645,1778669903047,1778669909870,1778669910347,1778669909920,1778669910347,,,7299
48070737443855276689102927317410898850945471542235881609662030032029300873198,1778669903047,1778669910315,1778669914928,1778669910347,1778669914928,,,11881
46209048697034237075393641691418169821327877920814498796235615050895403931282,1778669903048,1778669911316,1778669915348,1778669911355,1778669915348,,,12300
53158755467713529779049044529967549613816854646675705703400308834663011098100,1778669897359,1778669904870,1778669905344,1778669904908,1778669905344,,,7985
31036977841692275921787865361962880655985010899524403352056403039194776303466,1778669903047,1778669909870,1778669909920,,,,,6873
6189250984018807672766236872421756706252831042973328511953254418856938285694,1778669903047,1778669910315,1778669911355,1778669910347,1778669911355,,,8308
89768581023057690552682286614217357261717746721381085445859068122456071140581,1778669903047,1778669910315,1778669911632,1778669910347,1778669911632,,,8585
92003960811649716310221817944027814928285691505442333427218080993495831943774,1778669903047,1778669910315,1778669911632,1778669910347,1778669911632,,,8584
113258397299450788639051972995686056955319840025492060163853494823089267318945,1778669903047,1778669911316,1778669915348,1778669911355,1778669915348,,,12301
87938850252203572019661154156512571533938109625245112682659667130742848913601,1778669897358,1778669904870,1778669906624,1778669904908,1778669906624,,,9265
40860659283649364833320400531904848891928871746387180343011369737785037585212,1778669897359,1778669904870,1778669906624,1778669904908,1778669906624,,,9265
47787726996474608303616309850185284314325068961327880079855199520004930041244,1778669897359,1778669904870,1778669905344,1778669904908,1778669905344,,,7985
79362168600830517002554385583035724888615139939900344664972970313400900856260,1778669897358,1778669905313,1778669906624,1778669905344,1778669906624,,,9265
39288944928185449683443800706236159307263091776257518831308547197594253810301,1778669897359,1778669905313,1778669906346,1778669905344,1778669906346,,,8987
66525641767684218173386318604548496173967031341800587797313913316768630164636,1778669903047,1778669909870,1778669909920,,,,,6873
92897899309255356071985866606788278132099923143495242292932658500266708011008,1778669903047,1778669910315,1778669911632,1778669910347,1778669911632,,,8584
14878365626519444017131956249653982866925311321130857458237917561550830030740,1778669903047,1778669911316,1778669911632,1778669911355,1778669911632,,,8585
9239006889719942467058813588311672226436013520746343352899777246309565070041,1778669897358,1778669905313,1778669905344,,,,,7985
89464554111734697019484686603998461517734839171600811707241203057135107627896,1778669897359,1778669906313,1778669906346,,,,,8987
101001193361037979664928451291127554022410755134036252444402791923521992279111,1778669897358,1778669906313,1778669909920,1778669906346,1778669909920,,,12561
32936402687165871733321636832786628865644682236171223899995124091164730666775,1778669897358,1778669906313,1778669910347,1778669906346,1778669910347,,,12988
258498581812706856476076820960916760332601772637525594598680972132842044561,1778669897359,1778669906313,1778669910347,1778669906346,1778669910347,,,12987
68576681479527121703436413391847733210860178459705842467212289558921960463264,1778669903047,1778669909870,1778669909920,,,,,6873
54451508044177724421406977149800738410516557532107172294356441899594471694960,1778669903047,1778669910315,1778669911355,1778669910347,1778669911355,,,8307
83042143362479088446468418412469001158199598526078775573007421517005506174939,1778669903047,1778669911316,1778669914928,1778669911355,1778669914928,,,11880
